Year,Value
1960,193522651.5
1961,197131452.6
1962,227355280.8
1963,251489203
1964,272239874.2
1965,278104208.5
1966,276976436.5
1967,307200275.6
1968,306072481.9
1969,310809065.8
1970,317575600.4
1971,333815520.1
1972,333138848.2
1973,421103764.8
1974,467341332.8
1975,404187173.2
1976,448846336
1977,546735390.4
1978,646880227.8
1979,665600416.2
1980,647331154.1
1981,651827763.2
1982,680881055.7
1983,694404479.3
1984,732839057.7
1985,751967984.3
1986,787196601.8
1987,792940997.6
1988,861149140.5
1989,911054837.9
1990,966132415.2
1991,1033439065
1992,1105328858
1993,1144123319
1994,1212540442
1995,1252444403
1996,1322544164
1997,1371525957
1998,1392615304
1999,1399244502
2000,1453472878
2001,1505239509
2002,1516134974
2003,1585267345
2004,1612096000
2005,1667973222
2006,1738530072
2007,1811338223
2008,1911360831
2009,1887363416
2010,1986757271
2011,2078431262
2012,2210096177
2013,2249712846
2014,2288195174
2015,2359759799
2016,2444436584
2017,2367633610
2018,2338674200
2019,2329753749
2020,2105770361
