Period,UK_claimant
Jan-08,792
Feb-08,778.4
Mar-08,778.5
Apr-08,792.4
May-08,814.7
Jun-08,848.7
Jul-08,882.7
Aug-08,924.9
Sep-08,968.6
Oct-08,1012.3
Nov-08,1100.4
Dec-08,1179.4
Jan-09,1240.8
Feb-09,1383.6
Mar-09,1457.1
Apr-09,1510.8
May-09,1549.4
Jun-09,1571.9
Jul-09,1585.8
Aug-09,1600.8
Sep-09,1609.7
Oct-09,1618.5
Nov-09,1610.4
Dec-09,1593.4
Jan-10,1609
Feb-10,1576.5
Mar-10,1548.6
Apr-10,1526.1
May-10,1494.8
Jun-10,1471.3
Jul-10,1458.2
Aug-10,1457.3
Sep-10,1457.1
Oct-10,1451
Nov-10,1452.4
Dec-10,1454
Jan-11,1461.8
Feb-11,1458.5
Mar-11,1463.5
Apr-11,1484.7
May-11,1500.4
Jun-11,1519.5
Jul-11,1555.1
Aug-11,1576.7
Sep-11,1596
Oct-11,1595.7
Nov-11,1599.2
Dec-11,1601.8
Jan-12,1609.9
Feb-12,1609.5
Mar-12,1606.7
Apr-12,1582.6
May-12,1585.5
Jun-12,1589.3
Jul-12,1583.7
Aug-12,1571.4
Sep-12,1571.3
Oct-12,1579.8
Nov-12,1576.9
Dec-12,1560.3
Jan-13,1550.014
Feb-13,1544.64
Mar-13,1530.569
Apr-13,1510.547
May-13,1489.778
Jun-13,1461.946
Jul-13,1428.436
Aug-13,1392.848
Sep-13,1342.593
Oct-13,1297.665
Nov-13,1263.816
Dec-13,1242.022
Jan-14,1221.395
Feb-14,1187.179
Mar-14,1152.451
Apr-14,1119.831
May-14,1085.54
Jun-14,1042.078
Jul-14,1008.845
Aug-14,971.688
Sep-14,947.414
Oct-14,922.452
Nov-14,897.944
Dec-14,876.553
Jan-15,855.549
Feb-15,834.705
Mar-15,814.791
Apr-15,804.673
May-15,795.756
Jun-15,794.683
Jul-15,790.929
Aug-15,785.23
Sep-15,780.609
Oct-15,776.93
Nov-15,771.512
Dec-15,769.628
Jan-16,764.831
Feb-16,758.464
Mar-16,766.454
Apr-16,765.148
May-16,767.285
Jun-16,772.423
Jul-16,772.076
Aug-16,776.721
Sep-16,779.633
Oct-16,783.029
Nov-16,787.247
Dec-16,780.502
Jan-17,768.924
Feb-17,763.095
Mar-17,779.907
Apr-17,788.994
May-17,794.061
Jun-17,799.404
Jul-17,800.251
Aug-17,801.449
Sep-17,803.919
Oct-17,807.297
Nov-17,814.765
Dec-17,825.208
Jan-18,825.883
Feb-18,833.883
Mar-18,848.526
Apr-18,861.583
May-18,878.488
Jun-18,888.232
Jul-18,898.928
Aug-18,912.748
Sep-18,932.958
Oct-18,954.225
Nov-18,977.227
Dec-18,998.994
Jan-19,1011.134
Feb-19,1037.859
Mar-19,1060.488
Apr-19,1079.564
May-19,1104.091
Jun-19,1135.471
Jul-19,1155.223
Aug-19,1171.543
Sep-19,1185.004
Oct-19,1211.439
Nov-19,1226.354
Dec-19,1228.997
Jan-20,1228.791
Feb-20,1234.748
Mar-20,1240.122
Apr-20,2098.153
May-20,2662.783
Jun-20,2594.277
Jul-20,2664.211
Aug-20,2703.676
Sep-20,2663.526
Oct-20,2599.372
Nov-20,2637.486
Dec-20,2644.481
